REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/05/01 00:30:00,5657.36,32.37,TRADE
QLD1,2021/05/01 01:00:00,5559.54,33.24,TRADE
QLD1,2021/05/01 01:30:00,5445.1,31.93,TRADE
QLD1,2021/05/01 02:00:00,5392.36,31.63,TRADE
QLD1,2021/05/01 02:30:00,5338.64,31.16,TRADE
QLD1,2021/05/01 03:00:00,5309.34,30.89,TRADE
QLD1,2021/05/01 03:30:00,5298.78,30.22,TRADE
QLD1,2021/05/01 04:00:00,5283.61,29.66,TRADE
QLD1,2021/05/01 04:30:00,5315.51,30.66,TRADE
QLD1,2021/05/01 05:00:00,5359.53,30.84,TRADE
QLD1,2021/05/01 05:30:00,5416.14,31.26,TRADE
QLD1,2021/05/01 06:00:00,5498.02,31.72,TRADE
QLD1,2021/05/01 06:30:00,5607.73,31,TRADE
QLD1,2021/05/01 07:00:00,5786.03,32.68,TRADE
QLD1,2021/05/01 07:30:00,5919,35.37,TRADE
QLD1,2021/05/01 08:00:00,6019,27.76,TRADE
QLD1,2021/05/01 08:30:00,6110.05,25.63,TRADE
QLD1,2021/05/01 09:00:00,6100.16,21.07,TRADE
QLD1,2021/05/01 09:30:00,5967,26.26,TRADE
QLD1,2021/05/01 10:00:00,5817.34,25.68,TRADE
QLD1,2021/05/01 10:30:00,5748.12,24.08,TRADE
QLD1,2021/05/01 11:00:00,5758.36,25.85,TRADE
QLD1,2021/05/01 11:30:00,5838.71,29.89,TRADE
QLD1,2021/05/01 12:00:00,5812.79,30.56,TRADE
QLD1,2021/05/01 12:30:00,5780.15,28.34,TRADE
QLD1,2021/05/01 13:00:00,5679.26,27.84,TRADE
QLD1,2021/05/01 13:30:00,5752.45,29.63,TRADE
QLD1,2021/05/01 14:00:00,5744.77,28.67,TRADE
QLD1,2021/05/01 14:30:00,5806.37,33.05,TRADE
QLD1,2021/05/01 15:00:00,5847.25,31.25,TRADE
QLD1,2021/05/01 15:30:00,5921.45,36.24,TRADE
QLD1,2021/05/01 16:00:00,6124.94,34.78,TRADE
QLD1,2021/05/01 16:30:00,6375.24,41.61,TRADE
QLD1,2021/05/01 17:00:00,6635.9,56.54,TRADE
QLD1,2021/05/01 17:30:00,6871.21,52.16,TRADE
QLD1,2021/05/01 18:00:00,6985.96,61.77,TRADE
QLD1,2021/05/01 18:30:00,7036.59,58.65,TRADE
QLD1,2021/05/01 19:00:00,6967.63,43.83,TRADE
QLD1,2021/05/01 19:30:00,6773.31,40.20,TRADE
QLD1,2021/05/01 20:00:00,6752.66,39.01,TRADE
QLD1,2021/05/01 20:30:00,6648.14,39.68,TRADE
QLD1,2021/05/01 21:00:00,6476.44,35.06,TRADE
QLD1,2021/05/01 21:30:00,6392.91,34.17,TRADE
QLD1,2021/05/01 22:00:00,6303.53,33.68,TRADE
QLD1,2021/05/01 22:30:00,6231.21,34.68,TRADE
QLD1,2021/05/01 23:00:00,6103.2,33.67,TRADE
QLD1,2021/05/01 23:30:00,5945.71,32.49,TRADE
QLD1,2021/05/02 00:00:00,5783.09,31.66,TRADE
QLD1,2021/05/02 00:30:00,5601.69,32.23,TRADE
QLD1,2021/05/02 01:00:00,5519.64,32.26,TRADE
QLD1,2021/05/02 01:30:00,5457.8,32.12,TRADE
QLD1,2021/05/02 02:00:00,5346.08,29.65,TRADE
QLD1,2021/05/02 02:30:00,5289.15,30.53,TRADE
QLD1,2021/05/02 03:00:00,5232.22,30.23,TRADE
QLD1,2021/05/02 03:30:00,5202.6,30.18,TRADE
QLD1,2021/05/02 04:00:00,5220.85,29.38,TRADE
QLD1,2021/05/02 04:30:00,5241.03,30.17,TRADE
QLD1,2021/05/02 05:00:00,5248.26,30.56,TRADE
QLD1,2021/05/02 05:30:00,5312.55,31.12,TRADE
QLD1,2021/05/02 06:00:00,5339.65,31.11,TRADE
QLD1,2021/05/02 06:30:00,5375.8,29.50,TRADE
QLD1,2021/05/02 07:00:00,5418.5,-149.31,TRADE
QLD1,2021/05/02 07:30:00,5458.66,-159.46,TRADE
QLD1,2021/05/02 08:00:00,5413.69,-24.18,TRADE
QLD1,2021/05/02 08:30:00,5386.75,-8.02,TRADE
QLD1,2021/05/02 09:00:00,5367.72,-24.18,TRADE
QLD1,2021/05/02 09:30:00,5303.05,-19.95,TRADE
QLD1,2021/05/02 10:00:00,5199.12,-29.34,TRADE
QLD1,2021/05/02 10:30:00,5198.17,-30.33,TRADE
QLD1,2021/05/02 11:00:00,5225.95,-13.62,TRADE
QLD1,2021/05/02 11:30:00,5344.67,-17.67,TRADE
QLD1,2021/05/02 12:00:00,5331.44,-4.36,TRADE
QLD1,2021/05/02 12:30:00,5358.65,10.40,TRADE
QLD1,2021/05/02 13:00:00,5335.26,9.42,TRADE
QLD1,2021/05/02 13:30:00,5309.15,2.06,TRADE
QLD1,2021/05/02 14:00:00,5357.95,8.06,TRADE
QLD1,2021/05/02 14:30:00,5442.38,13.08,TRADE
QLD1,2021/05/02 15:00:00,5643.57,23.64,TRADE
QLD1,2021/05/02 15:30:00,5857.94,30.20,TRADE
QLD1,2021/05/02 16:00:00,6049.24,40.78,TRADE
QLD1,2021/05/02 16:30:00,6324.81,44.13,TRADE
QLD1,2021/05/02 17:00:00,6636.31,59.32,TRADE
QLD1,2021/05/02 17:30:00,6825.72,56.83,TRADE
QLD1,2021/05/02 18:00:00,7032.44,65.35,TRADE
QLD1,2021/05/02 18:30:00,7042.51,63.95,TRADE
QLD1,2021/05/02 19:00:00,6939.52,60,TRADE
QLD1,2021/05/02 19:30:00,6780.65,49.32,TRADE
QLD1,2021/05/02 20:00:00,6668.13,54.01,TRADE
QLD1,2021/05/02 20:30:00,6550.79,80.29,TRADE
QLD1,2021/05/02 21:00:00,6415.31,51.82,TRADE
QLD1,2021/05/02 21:30:00,6317.29,41.81,TRADE
QLD1,2021/05/02 22:00:00,6201.77,34.06,TRADE
QLD1,2021/05/02 22:30:00,6135.33,47.85,TRADE
QLD1,2021/05/02 23:00:00,6082.32,39.03,TRADE
QLD1,2021/05/02 23:30:00,5841.21,41.83,TRADE
QLD1,2021/05/03 00:00:00,5681.15,41.34,TRADE
QLD1,2021/05/03 00:30:00,5506.87,37.17,TRADE
QLD1,2021/05/03 01:00:00,5391.12,36.78,TRADE
QLD1,2021/05/03 01:30:00,5315.45,32.64,TRADE
QLD1,2021/05/03 02:00:00,5260.91,31.70,TRADE
QLD1,2021/05/03 02:30:00,5201.35,36.94,TRADE
QLD1,2021/05/03 03:00:00,5190.28,37.23,TRADE
QLD1,2021/05/03 03:30:00,5227.6,38.39,TRADE
QLD1,2021/05/03 04:00:00,5184.02,36.57,TRADE
QLD1,2021/05/03 04:30:00,5192.54,41.18,TRADE
QLD1,2021/05/03 05:00:00,5210.46,44.52,TRADE
QLD1,2021/05/03 05:30:00,5280.36,42.53,TRADE
QLD1,2021/05/03 06:00:00,5375.95,44.45,TRADE
QLD1,2021/05/03 06:30:00,5462.79,43.18,TRADE
QLD1,2021/05/03 07:00:00,5534.43,55.40,TRADE
QLD1,2021/05/03 07:30:00,5523.63,49.91,TRADE
QLD1,2021/05/03 08:00:00,5407.78,30.21,TRADE
QLD1,2021/05/03 08:30:00,5263.65,21.89,TRADE
QLD1,2021/05/03 09:00:00,5133.96,11.05,TRADE
QLD1,2021/05/03 09:30:00,4988.44,17.82,TRADE
QLD1,2021/05/03 10:00:00,4835.19,19.15,TRADE
QLD1,2021/05/03 10:30:00,4680.31,19.15,TRADE
QLD1,2021/05/03 11:00:00,4669.43,26.89,TRADE
QLD1,2021/05/03 11:30:00,4719.14,24.05,TRADE
QLD1,2021/05/03 12:00:00,4783.28,26.02,TRADE
QLD1,2021/05/03 12:30:00,4917.73,29.83,TRADE
QLD1,2021/05/03 13:00:00,5036.99,28.18,TRADE
QLD1,2021/05/03 13:30:00,4966.48,23.87,TRADE
QLD1,2021/05/03 14:00:00,4999.56,25.86,TRADE
QLD1,2021/05/03 14:30:00,5191.28,32.65,TRADE
QLD1,2021/05/03 15:00:00,5394.21,40.20,TRADE
QLD1,2021/05/03 15:30:00,5643.52,44.51,TRADE
QLD1,2021/05/03 16:00:00,5961.35,50.20,TRADE
QLD1,2021/05/03 16:30:00,6305.58,63.82,TRADE
QLD1,2021/05/03 17:00:00,6651.4,67.09,TRADE
QLD1,2021/05/03 17:30:00,6961.17,60.76,TRADE
QLD1,2021/05/03 18:00:00,7181.41,49.41,TRADE
QLD1,2021/05/03 18:30:00,7180.93,80.31,TRADE
QLD1,2021/05/03 19:00:00,7119.97,46.08,TRADE
QLD1,2021/05/03 19:30:00,6921.86,34.84,TRADE
QLD1,2021/05/03 20:00:00,6770.67,49.44,TRADE
QLD1,2021/05/03 20:30:00,6728.07,46.16,TRADE
QLD1,2021/05/03 21:00:00,6550.16,66.24,TRADE
QLD1,2021/05/03 21:30:00,6399.34,40.37,TRADE
QLD1,2021/05/03 22:00:00,6263.88,37.19,TRADE
QLD1,2021/05/03 22:30:00,6139.76,41.46,TRADE
QLD1,2021/05/03 23:00:00,6062.49,56.64,TRADE
QLD1,2021/05/03 23:30:00,5854.05,39.70,TRADE
QLD1,2021/05/04 00:00:00,5666.49,37.73,TRADE
QLD1,2021/05/04 00:30:00,5544.57,38.60,TRADE
QLD1,2021/05/04 01:00:00,5414.68,33.39,TRADE
QLD1,2021/05/04 01:30:00,5313.68,32.84,TRADE
QLD1,2021/05/04 02:00:00,5300.15,32.23,TRADE
QLD1,2021/05/04 02:30:00,5251.81,30.82,TRADE
QLD1,2021/05/04 03:00:00,5227.55,31,TRADE
QLD1,2021/05/04 03:30:00,5235.22,31.75,TRADE
QLD1,2021/05/04 04:00:00,5244.57,32.22,TRADE
QLD1,2021/05/04 04:30:00,5278.6,31.89,TRADE
QLD1,2021/05/04 05:00:00,5376.84,33.82,TRADE
QLD1,2021/05/04 05:30:00,5620.69,46.47,TRADE
QLD1,2021/05/04 06:00:00,5853.23,43.93,TRADE
QLD1,2021/05/04 06:30:00,6174.75,48.66,TRADE
QLD1,2021/05/04 07:00:00,6443.85,105.47,TRADE
QLD1,2021/05/04 07:30:00,6570.61,48.73,TRADE
QLD1,2021/05/04 08:00:00,6418.62,53.20,TRADE
QLD1,2021/05/04 08:30:00,6101.78,28.51,TRADE
QLD1,2021/05/04 09:00:00,5764.56,18.38,TRADE
QLD1,2021/05/04 09:30:00,5546.88,21.51,TRADE
QLD1,2021/05/04 10:00:00,5382.68,17,TRADE
QLD1,2021/05/04 10:30:00,5203.06,18.83,TRADE
QLD1,2021/05/04 11:00:00,5116.46,14.87,TRADE
QLD1,2021/05/04 11:30:00,5050.34,10.18,TRADE
QLD1,2021/05/04 12:00:00,5058.97,10.30,TRADE
QLD1,2021/05/04 12:30:00,5139.34,33.03,TRADE
QLD1,2021/05/04 13:00:00,5175.73,21.93,TRADE
QLD1,2021/05/04 13:30:00,5181.54,36.75,TRADE
QLD1,2021/05/04 14:00:00,5541.09,26.11,TRADE
QLD1,2021/05/04 14:30:00,5769.08,32.36,TRADE
QLD1,2021/05/04 15:00:00,5986.11,39.03,TRADE
QLD1,2021/05/04 15:30:00,6243.6,47.83,TRADE
QLD1,2021/05/04 16:00:00,6595.24,74.76,TRADE
QLD1,2021/05/04 16:30:00,6944.25,59.61,TRADE
QLD1,2021/05/04 17:00:00,7157.61,91.43,TRADE
QLD1,2021/05/04 17:30:00,7345.23,62.45,TRADE
QLD1,2021/05/04 18:00:00,7530.08,197.97,TRADE
QLD1,2021/05/04 18:30:00,7471.31,58.17,TRADE
QLD1,2021/05/04 19:00:00,7447.1,58.88,TRADE
QLD1,2021/05/04 19:30:00,7254.15,48.04,TRADE
QLD1,2021/05/04 20:00:00,7134.2,58.14,TRADE
QLD1,2021/05/04 20:30:00,7054.67,128.40,TRADE
QLD1,2021/05/04 21:00:00,6802.63,49.20,TRADE
QLD1,2021/05/04 21:30:00,6615.56,47.20,TRADE
QLD1,2021/05/04 22:00:00,6464.4,42.34,TRADE
QLD1,2021/05/04 22:30:00,6333.82,48.71,TRADE
QLD1,2021/05/04 23:00:00,6207.6,36.32,TRADE
QLD1,2021/05/04 23:30:00,6004.28,34.93,TRADE
QLD1,2021/05/05 00:00:00,5825.38,32.39,TRADE
QLD1,2021/05/05 00:30:00,5643.77,32.32,TRADE
QLD1,2021/05/05 01:00:00,5519.99,31.19,TRADE
QLD1,2021/05/05 01:30:00,5390.75,30.67,TRADE
QLD1,2021/05/05 02:00:00,5392.26,30.17,TRADE
QLD1,2021/05/05 02:30:00,5333.66,27.21,TRADE
QLD1,2021/05/05 03:00:00,5310.67,26.79,TRADE
QLD1,2021/05/05 03:30:00,5337.34,27.95,TRADE
QLD1,2021/05/05 04:00:00,5308.51,27.35,TRADE
QLD1,2021/05/05 04:30:00,5347.39,27.33,TRADE
QLD1,2021/05/05 05:00:00,5442.24,26.14,TRADE
QLD1,2021/05/05 05:30:00,5662.19,29.77,TRADE
QLD1,2021/05/05 06:00:00,5908.19,34.89,TRADE
QLD1,2021/05/05 06:30:00,6233.61,39.43,TRADE
QLD1,2021/05/05 07:00:00,6417.62,49.04,TRADE
QLD1,2021/05/05 07:30:00,6557.48,47.90,TRADE
QLD1,2021/05/05 08:00:00,6520.25,45.81,TRADE
QLD1,2021/05/05 08:30:00,6432.2,36.96,TRADE
QLD1,2021/05/05 09:00:00,6581.14,56.27,TRADE
