REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/04/01 00:30:00,5627.02,30.49,TRADE
QLD1,2021/04/01 01:00:00,5525.21,28.85,TRADE
QLD1,2021/04/01 01:30:00,5456.52,27.61,TRADE
QLD1,2021/04/01 02:00:00,5400.96,27.43,TRADE
QLD1,2021/04/01 02:30:00,5334.09,26.73,TRADE
QLD1,2021/04/01 03:00:00,5334.36,26.73,TRADE
QLD1,2021/04/01 03:30:00,5280.09,26.51,TRADE
QLD1,2021/04/01 04:00:00,5297.35,27.18,TRADE
QLD1,2021/04/01 04:30:00,5351.76,32.08,TRADE
QLD1,2021/04/01 05:00:00,5493.21,31.81,TRADE
QLD1,2021/04/01 05:30:00,5651.29,32.79,TRADE
QLD1,2021/04/01 06:00:00,5777.3,37.96,TRADE
QLD1,2021/04/01 06:30:00,6003.47,48.65,TRADE
QLD1,2021/04/01 07:00:00,6161.36,51.86,TRADE
QLD1,2021/04/01 07:30:00,6194.91,34.58,TRADE
QLD1,2021/04/01 08:00:00,6066.82,26.38,TRADE
QLD1,2021/04/01 08:30:00,5863.31,20.58,TRADE
QLD1,2021/04/01 09:00:00,5665.19,17.76,TRADE
QLD1,2021/04/01 09:30:00,5527.74,22.02,TRADE
QLD1,2021/04/01 10:00:00,5428.49,19.23,TRADE
QLD1,2021/04/01 10:30:00,5476.21,19.96,TRADE
QLD1,2021/04/01 11:00:00,5550.98,27.02,TRADE
QLD1,2021/04/01 11:30:00,5739.91,29.35,TRADE
QLD1,2021/04/01 12:00:00,5759.15,28.73,TRADE
QLD1,2021/04/01 12:30:00,5686.28,28.62,TRADE
QLD1,2021/04/01 13:00:00,5800.86,29.14,TRADE
QLD1,2021/04/01 13:30:00,5919.6,30.46,TRADE
QLD1,2021/04/01 14:00:00,5983.34,29.89,TRADE
QLD1,2021/04/01 14:30:00,6028.6,28.69,TRADE
QLD1,2021/04/01 15:00:00,5999.3,28.63,TRADE
QLD1,2021/04/01 15:30:00,6120.16,29.39,TRADE
QLD1,2021/04/01 16:00:00,6287.63,29.92,TRADE
QLD1,2021/04/01 16:30:00,6607.29,30.13,TRADE
QLD1,2021/04/01 17:00:00,6884.8,39.57,TRADE
QLD1,2021/04/01 17:30:00,7015.61,45.98,TRADE
QLD1,2021/04/01 18:00:00,7100.71,102.64,TRADE
QLD1,2021/04/01 18:30:00,7230.25,69.14,TRADE
QLD1,2021/04/01 19:00:00,7306.78,51.79,TRADE
QLD1,2021/04/01 19:30:00,7121.68,39.62,TRADE
QLD1,2021/04/01 20:00:00,6974.71,33.96,TRADE
QLD1,2021/04/01 20:30:00,6856.08,35.13,TRADE
QLD1,2021/04/01 21:00:00,6728.96,40.21,TRADE
QLD1,2021/04/01 21:30:00,6529.7,33.57,TRADE
QLD1,2021/04/01 22:00:00,6384.29,30.38,TRADE
QLD1,2021/04/01 22:30:00,6285.29,31.94,TRADE
QLD1,2021/04/01 23:00:00,6157.05,30.80,TRADE
QLD1,2021/04/01 23:30:00,5947.19,33.05,TRADE
QLD1,2021/04/02 00:00:00,5769.29,31.08,TRADE
QLD1,2021/04/02 00:30:00,5634.9,30.58,TRADE
QLD1,2021/04/02 01:00:00,5485.84,29.69,TRADE
QLD1,2021/04/02 01:30:00,5400.91,27.96,TRADE
QLD1,2021/04/02 02:00:00,5287.58,27.76,TRADE
QLD1,2021/04/02 02:30:00,5276.29,26.49,TRADE
QLD1,2021/04/02 03:00:00,5251.21,27.77,TRADE
QLD1,2021/04/02 03:30:00,5231.69,27.50,TRADE
QLD1,2021/04/02 04:00:00,5211.45,26.92,TRADE
QLD1,2021/04/02 04:30:00,5264.42,28.19,TRADE
QLD1,2021/04/02 05:00:00,5269.75,29.58,TRADE
QLD1,2021/04/02 05:30:00,5323.73,30,TRADE
QLD1,2021/04/02 06:00:00,5354.76,30.45,TRADE
QLD1,2021/04/02 06:30:00,5356.41,27.69,TRADE
QLD1,2021/04/02 07:00:00,5391.77,27.59,TRADE
QLD1,2021/04/02 07:30:00,5318.28,20.81,TRADE
QLD1,2021/04/02 08:00:00,5167.88,10.51,TRADE
