REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/08/01 00:30:00,5503.25,66.25,TRADE
QLD1,2021/08/01 01:00:00,5359.1,52.16,TRADE
QLD1,2021/08/01 01:30:00,5238.51,51.08,TRADE
QLD1,2021/08/01 02:00:00,5183.52,46.57,TRADE
QLD1,2021/08/01 02:30:00,5128.56,36.70,TRADE
QLD1,2021/08/01 03:00:00,5077,36.80,TRADE
QLD1,2021/08/01 03:30:00,5072.65,32.88,TRADE
QLD1,2021/08/01 04:00:00,5025.75,14.04,TRADE
QLD1,2021/08/01 04:30:00,4985.57,17.27,TRADE
QLD1,2021/08/01 05:00:00,5086.4,36.34,TRADE
QLD1,2021/08/01 05:30:00,5258.71,35.92,TRADE
QLD1,2021/08/01 06:00:00,5310.64,38.24,TRADE
QLD1,2021/08/01 06:30:00,5393.06,44.08,TRADE
QLD1,2021/08/01 07:00:00,5546.34,64.40,TRADE
QLD1,2021/08/01 07:30:00,5577.37,59.08,TRADE
QLD1,2021/08/01 08:00:00,5499,38.55,TRADE
QLD1,2021/08/01 08:30:00,5275.85,23.57,TRADE
QLD1,2021/08/01 09:00:00,5108.27,19.11,TRADE
QLD1,2021/08/01 09:30:00,4907.57,38.51,TRADE
QLD1,2021/08/01 10:00:00,4669.42,23.04,TRADE
QLD1,2021/08/01 10:30:00,4432.95,24.99,TRADE
QLD1,2021/08/01 11:00:00,4300.83,8.03,TRADE
QLD1,2021/08/01 11:30:00,4183.47,4.27,TRADE
QLD1,2021/08/01 12:00:00,4086.95,-14.48,TRADE
QLD1,2021/08/01 12:30:00,4134.26,-25.90,TRADE
QLD1,2021/08/01 13:00:00,4145,-1.03,TRADE
QLD1,2021/08/01 13:30:00,4231.22,1.33,TRADE
QLD1,2021/08/01 14:00:00,4360.12,6.27,TRADE
QLD1,2021/08/01 14:30:00,4541.63,6.25,TRADE
QLD1,2021/08/01 15:00:00,4856.88,22.45,TRADE
QLD1,2021/08/01 15:30:00,5183.13,47.30,TRADE
QLD1,2021/08/01 16:00:00,5560.88,32.66,TRADE
QLD1,2021/08/01 16:30:00,5956.52,60.66,TRADE
QLD1,2021/08/01 17:00:00,6421.52,65.94,TRADE
QLD1,2021/08/01 17:30:00,6734.12,118.52,TRADE
QLD1,2021/08/01 18:00:00,7036.81,351.87,TRADE
QLD1,2021/08/01 18:30:00,7063.32,293.44,TRADE
QLD1,2021/08/01 19:00:00,7029.1,292.82,TRADE
QLD1,2021/08/01 19:30:00,6832.24,140.51,TRADE
QLD1,2021/08/01 20:00:00,6727.02,109.63,TRADE
QLD1,2021/08/01 20:30:00,6602.03,81.67,TRADE
QLD1,2021/08/01 21:00:00,6405.54,77.19,TRADE
QLD1,2021/08/01 21:30:00,6252.91,87.82,TRADE
QLD1,2021/08/01 22:00:00,6111.83,96.31,TRADE
QLD1,2021/08/01 22:30:00,6033.04,107.90,TRADE
QLD1,2021/08/01 23:00:00,5942.13,93.82,TRADE
QLD1,2021/08/01 23:30:00,5748.34,91.60,TRADE
QLD1,2021/08/02 00:00:00,5571,75.94,TRADE
QLD1,2021/08/02 00:30:00,5435.54,64.61,TRADE
QLD1,2021/08/02 01:00:00,5287.44,57.47,TRADE
QLD1,2021/08/02 01:30:00,5190.72,44.18,TRADE
QLD1,2021/08/02 02:00:00,5122.81,42.02,TRADE
QLD1,2021/08/02 02:30:00,5077.25,47.21,TRADE
QLD1,2021/08/02 03:00:00,5055.39,41.12,TRADE
QLD1,2021/08/02 03:30:00,5099.21,42.52,TRADE
QLD1,2021/08/02 04:00:00,5086.59,41.02,TRADE
QLD1,2021/08/02 04:30:00,5138.52,42.60,TRADE
QLD1,2021/08/02 05:00:00,5236.03,50.69,TRADE
QLD1,2021/08/02 05:30:00,5460.44,35.15,TRADE
QLD1,2021/08/02 06:00:00,5630.13,28.92,TRADE
QLD1,2021/08/02 06:30:00,5958.06,58.12,TRADE
QLD1,2021/08/02 07:00:00,6170.84,62.59,TRADE
QLD1,2021/08/02 07:30:00,6371.55,69.85,TRADE
QLD1,2021/08/02 08:00:00,6274.09,53.46,TRADE
QLD1,2021/08/02 08:30:00,6053.98,54.23,TRADE
QLD1,2021/08/02 09:00:00,5779.18,36.58,TRADE
QLD1,2021/08/02 09:30:00,5571.38,60.82,TRADE
QLD1,2021/08/02 10:00:00,5372.5,39.24,TRADE
QLD1,2021/08/02 10:30:00,5267.64,39.70,TRADE
QLD1,2021/08/02 11:00:00,5031.59,17.54,TRADE
QLD1,2021/08/02 11:30:00,5010.14,16.97,TRADE
QLD1,2021/08/02 12:00:00,5094.67,22.75,TRADE
QLD1,2021/08/02 12:30:00,5067.41,23.44,TRADE
QLD1,2021/08/02 13:00:00,5037.61,28.46,TRADE
QLD1,2021/08/02 13:30:00,5150.32,37.17,TRADE
QLD1,2021/08/02 14:00:00,5252.77,45.25,TRADE
QLD1,2021/08/02 14:30:00,5433.88,65.22,TRADE
QLD1,2021/08/02 15:00:00,5625.81,65,TRADE
QLD1,2021/08/02 15:30:00,5863.31,57.85,TRADE
QLD1,2021/08/02 16:00:00,6141.26,50.62,TRADE
QLD1,2021/08/02 16:30:00,6391.42,67.77,TRADE
QLD1,2021/08/02 17:00:00,6674.76,73.49,TRADE
QLD1,2021/08/02 17:30:00,7008.75,147.95,TRADE
QLD1,2021/08/02 18:00:00,7224.89,338.28,TRADE
QLD1,2021/08/02 18:30:00,7289.63,192.39,TRADE
QLD1,2021/08/02 19:00:00,7220.03,145.04,TRADE
QLD1,2021/08/02 19:30:00,7008.2,70.77,TRADE
QLD1,2021/08/02 20:00:00,6942.72,80.20,TRADE
QLD1,2021/08/02 20:30:00,6829.87,74.13,TRADE
QLD1,2021/08/02 21:00:00,6649.3,67.71,TRADE
QLD1,2021/08/02 21:30:00,6475.84,63.93,TRADE
QLD1,2021/08/02 22:00:00,6253.37,50.57,TRADE
QLD1,2021/08/02 22:30:00,6149.18,54.41,TRADE
QLD1,2021/08/02 23:00:00,6008.2,54.57,TRADE
QLD1,2021/08/02 23:30:00,5845.1,59.92,TRADE
QLD1,2021/08/03 00:00:00,5667.16,58.18,TRADE
QLD1,2021/08/03 00:30:00,5497.57,42.28,TRADE
QLD1,2021/08/03 01:00:00,5340.52,50.61,TRADE
QLD1,2021/08/03 01:30:00,5229.75,43.48,TRADE
QLD1,2021/08/03 02:00:00,5199.43,35.93,TRADE
QLD1,2021/08/03 02:30:00,5159.72,33.76,TRADE
QLD1,2021/08/03 03:00:00,5112.64,36.68,TRADE
QLD1,2021/08/03 03:30:00,5099.68,32.02,TRADE
QLD1,2021/08/03 04:00:00,5144.17,21.34,TRADE
QLD1,2021/08/03 04:30:00,5167.23,17.93,TRADE
QLD1,2021/08/03 05:00:00,5202.48,12.14,TRADE
QLD1,2021/08/03 05:30:00,5448.73,26.47,TRADE
QLD1,2021/08/03 06:00:00,5621.32,25.32,TRADE
QLD1,2021/08/03 06:30:00,5883.61,36.50,TRADE
QLD1,2021/08/03 07:00:00,6109.85,28.70,TRADE
QLD1,2021/08/03 07:30:00,6344.72,51.40,TRADE
QLD1,2021/08/03 08:00:00,6373.62,33.65,TRADE
QLD1,2021/08/03 08:30:00,6375,57.58,TRADE
QLD1,2021/08/03 09:00:00,6230.15,57.73,TRADE
QLD1,2021/08/03 09:30:00,5988.5,49.77,TRADE
QLD1,2021/08/03 10:00:00,5665.35,38.27,TRADE
QLD1,2021/08/03 10:30:00,5310.17,30.92,TRADE
QLD1,2021/08/03 11:00:00,5212.83,24.69,TRADE
QLD1,2021/08/03 11:30:00,5130.67,23.81,TRADE
QLD1,2021/08/03 12:00:00,5115.24,18.92,TRADE
QLD1,2021/08/03 12:30:00,5274.45,35.70,TRADE
QLD1,2021/08/03 13:00:00,5520.87,37.65,TRADE
QLD1,2021/08/03 13:30:00,5428.52,12.26,TRADE
QLD1,2021/08/03 14:00:00,5479.86,27.57,TRADE
QLD1,2021/08/03 14:30:00,5745.44,45.03,TRADE
QLD1,2021/08/03 15:00:00,5966.22,51.01,TRADE
QLD1,2021/08/03 15:30:00,6166.63,59.81,TRADE
QLD1,2021/08/03 16:00:00,6308.2,49.41,TRADE
QLD1,2021/08/03 16:30:00,6502.16,36.10,TRADE
QLD1,2021/08/03 17:00:00,6832.15,72.93,TRADE
QLD1,2021/08/03 17:30:00,7076.91,73.84,TRADE
QLD1,2021/08/03 18:00:00,7374.82,188.11,TRADE
QLD1,2021/08/03 18:30:00,7393.71,116.51,TRADE
QLD1,2021/08/03 19:00:00,7341.65,74.14,TRADE
QLD1,2021/08/03 19:30:00,7121.69,64.74,TRADE
QLD1,2021/08/03 20:00:00,7016.76,68.50,TRADE
QLD1,2021/08/03 20:30:00,6909.51,63,TRADE
QLD1,2021/08/03 21:00:00,6710.15,54.30,TRADE
QLD1,2021/08/03 21:30:00,6555.87,44.26,TRADE
QLD1,2021/08/03 22:00:00,6381.49,40.01,TRADE
QLD1,2021/08/03 22:30:00,6257.72,54.70,TRADE
QLD1,2021/08/03 23:00:00,6069.31,38.68,TRADE
QLD1,2021/08/03 23:30:00,5878.86,40.33,TRADE
QLD1,2021/08/04 00:00:00,5698.66,46.88,TRADE
QLD1,2021/08/04 00:30:00,5498.97,53.71,TRADE
QLD1,2021/08/04 01:00:00,5382.59,45.95,TRADE
QLD1,2021/08/04 01:30:00,5296.4,39.14,TRADE
QLD1,2021/08/04 02:00:00,5204.87,34.33,TRADE
QLD1,2021/08/04 02:30:00,5179.44,37.50,TRADE
QLD1,2021/08/04 03:00:00,5140.67,32.58,TRADE
QLD1,2021/08/04 03:30:00,5157.86,23.92,TRADE
QLD1,2021/08/04 04:00:00,5109.54,24.24,TRADE
QLD1,2021/08/04 04:30:00,5216.39,33.39,TRADE
QLD1,2021/08/04 05:00:00,5283.71,25.85,TRADE
QLD1,2021/08/04 05:30:00,5562.13,37.10,TRADE
QLD1,2021/08/04 06:00:00,5723.64,23.66,TRADE
QLD1,2021/08/04 06:30:00,6070.68,43.65,TRADE
QLD1,2021/08/04 07:00:00,6321.96,62.49,TRADE
QLD1,2021/08/04 07:30:00,6422.57,72.80,TRADE
QLD1,2021/08/04 08:00:00,6244.57,34.87,TRADE
QLD1,2021/08/04 08:30:00,5977.75,34.32,TRADE
QLD1,2021/08/04 09:00:00,5548.93,20.50,TRADE
QLD1,2021/08/04 09:30:00,5213.57,36.05,TRADE
QLD1,2021/08/04 10:00:00,4874.23,20.31,TRADE
QLD1,2021/08/04 10:30:00,4619.22,16.55,TRADE
QLD1,2021/08/04 11:00:00,4467.93,18.93,TRADE
QLD1,2021/08/04 11:30:00,4339.01,7.19,TRADE
QLD1,2021/08/04 12:00:00,4292.32,3.64,TRADE
QLD1,2021/08/04 12:30:00,4303.69,2.94,TRADE
QLD1,2021/08/04 13:00:00,4283.59,1.25,TRADE
QLD1,2021/08/04 13:30:00,4392.66,15.37,TRADE
QLD1,2021/08/04 14:00:00,4495.47,19.46,TRADE
QLD1,2021/08/04 14:30:00,4690.96,31.34,TRADE
QLD1,2021/08/04 15:00:00,4977.18,19.42,TRADE
QLD1,2021/08/04 15:30:00,5232.3,42.10,TRADE
QLD1,2021/08/04 16:00:00,5652.24,55.02,TRADE
QLD1,2021/08/04 16:30:00,6048.2,53.12,TRADE
QLD1,2021/08/04 17:00:00,6561.31,65.90,TRADE
QLD1,2021/08/04 17:30:00,7016.09,95.22,TRADE
QLD1,2021/08/04 18:00:00,7448.42,196.41,TRADE
QLD1,2021/08/04 18:30:00,7588.01,154.11,TRADE
QLD1,2021/08/04 19:00:00,7642.09,159.17,TRADE
QLD1,2021/08/04 19:30:00,7493.61,103.25,TRADE
QLD1,2021/08/04 20:00:00,7387.42,106.37,TRADE
QLD1,2021/08/04 20:30:00,7286.81,106.44,TRADE
QLD1,2021/08/04 21:00:00,7138.9,89.12,TRADE
QLD1,2021/08/04 21:30:00,6930.58,90.42,TRADE
QLD1,2021/08/04 22:00:00,6701.88,89.67,TRADE
QLD1,2021/08/04 22:30:00,6484.96,78.92,TRADE
QLD1,2021/08/04 23:00:00,6276.91,77.78,TRADE
QLD1,2021/08/04 23:30:00,6043,68.11,TRADE
QLD1,2021/08/05 00:00:00,5785.86,65.63,TRADE
QLD1,2021/08/05 00:30:00,5654.51,51.43,TRADE
QLD1,2021/08/05 01:00:00,5503.01,40.90,TRADE
QLD1,2021/08/05 01:30:00,5385.96,35.19,TRADE
QLD1,2021/08/05 02:00:00,5285.72,36.53,TRADE
QLD1,2021/08/05 02:30:00,5261.25,39.89,TRADE
QLD1,2021/08/05 03:00:00,5227.8,33.18,TRADE
QLD1,2021/08/05 03:30:00,5220.89,29.19,TRADE
QLD1,2021/08/05 04:00:00,5205.48,29.69,TRADE
QLD1,2021/08/05 04:30:00,5321,36.76,TRADE
QLD1,2021/08/05 05:00:00,5459.28,27.17,TRADE
QLD1,2021/08/05 05:30:00,5715.29,36.92,TRADE
QLD1,2021/08/05 06:00:00,5965.59,19.92,TRADE
QLD1,2021/08/05 06:30:00,6343.53,45.13,TRADE
QLD1,2021/08/05 07:00:00,6712.19,68.01,TRADE
QLD1,2021/08/05 07:30:00,6892.17,53.01,TRADE
QLD1,2021/08/05 08:00:00,6668.46,28.33,TRADE
QLD1,2021/08/05 08:30:00,6366.88,19.66,TRADE
