REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/12/01 00:30:00,6264.8,37,TRADE
QLD1,2020/12/01 01:00:00,6128.18,36.38,TRADE
QLD1,2020/12/01 01:30:00,6047.9,32.62,TRADE
QLD1,2020/12/01 02:00:00,5953.29,32.05,TRADE
QLD1,2020/12/01 02:30:00,5942.23,33.90,TRADE
QLD1,2020/12/01 03:00:00,5866.6,29.99,TRADE
QLD1,2020/12/01 03:30:00,5857.49,33.74,TRADE
QLD1,2020/12/01 04:00:00,5862.85,34.51,TRADE
QLD1,2020/12/01 04:30:00,5920.41,38.08,TRADE
QLD1,2020/12/01 05:00:00,5973.54,42.62,TRADE
QLD1,2020/12/01 05:30:00,6130.74,49.99,TRADE
QLD1,2020/12/01 06:00:00,6209.84,34.11,TRADE
QLD1,2020/12/01 06:30:00,6441.69,34.31,TRADE
QLD1,2020/12/01 07:00:00,6599.46,40.64,TRADE
QLD1,2020/12/01 07:30:00,6794.63,38.01,TRADE
QLD1,2020/12/01 08:00:00,6816.61,36.16,TRADE
QLD1,2020/12/01 08:30:00,6784.56,33.14,TRADE
QLD1,2020/12/01 09:00:00,6664.12,32.14,TRADE
QLD1,2020/12/01 09:30:00,6623.75,37.10,TRADE
QLD1,2020/12/01 10:00:00,6620.04,36.54,TRADE
QLD1,2020/12/01 10:30:00,6666.26,32.98,TRADE
QLD1,2020/12/01 11:00:00,6749.61,48.17,TRADE
QLD1,2020/12/01 11:30:00,6799.79,27.65,TRADE
QLD1,2020/12/01 12:00:00,6883.16,38.43,TRADE
QLD1,2020/12/01 12:30:00,6944.81,27.48,TRADE
QLD1,2020/12/01 13:00:00,7033.44,18.47,TRADE
QLD1,2020/12/01 13:30:00,7222.48,26.85,TRADE
QLD1,2020/12/01 14:00:00,7436.11,47.09,TRADE
QLD1,2020/12/01 14:30:00,7661.24,79.59,TRADE
QLD1,2020/12/01 15:00:00,7957.11,47.78,TRADE
QLD1,2020/12/01 15:30:00,8175.95,127.75,TRADE
QLD1,2020/12/01 16:00:00,8492.02,135.42,TRADE
QLD1,2020/12/01 16:30:00,8718.1,466.89,TRADE
QLD1,2020/12/01 17:00:00,8949.46,-8.81,TRADE
