REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/12/01 00:05:00,5774.75,81.74,TRADE
QLD1,2021/12/01 00:10:00,5751.65,77.06,TRADE
QLD1,2021/12/01 00:15:00,5682.38,76.97,TRADE
QLD1,2021/12/01 00:20:00,5678.27,69.77,TRADE
QLD1,2021/12/01 00:25:00,5653.79,69.59,TRADE
QLD1,2021/12/01 00:30:00,5622.16,70.15,TRADE
QLD1,2021/12/01 00:35:00,5585.54,70.70,TRADE
QLD1,2021/12/01 00:40:00,5607.45,104.05,TRADE
QLD1,2021/12/01 00:45:00,5581.91,90.01,TRADE
QLD1,2021/12/01 00:50:00,5577.16,79.15,TRADE
QLD1,2021/12/01 00:55:00,5598.61,79.10,TRADE
QLD1,2021/12/01 01:00:00,5535.26,75.40,TRADE
QLD1,2021/12/01 01:05:00,5520.59,75.43,TRADE
QLD1,2021/12/01 01:10:00,5565.34,79.10,TRADE
QLD1,2021/12/01 01:15:00,5540.76,78.93,TRADE
QLD1,2021/12/01 01:20:00,5515.43,70.15,TRADE
QLD1,2021/12/01 01:25:00,5505.99,70.10,TRADE
QLD1,2021/12/01 01:30:00,5501.39,70.10,TRADE
QLD1,2021/12/01 01:35:00,5449.87,70.15,TRADE
QLD1,2021/12/01 01:40:00,5436.66,70.10,TRADE
QLD1,2021/12/01 01:45:00,5426.08,70.10,TRADE
QLD1,2021/12/01 01:50:00,5346.71,65.36,TRADE
QLD1,2021/12/01 01:55:00,5404.42,64.94,TRADE
QLD1,2021/12/01 02:00:00,5411.79,63.63,TRADE
QLD1,2021/12/01 02:05:00,5410.36,65.61,TRADE
QLD1,2021/12/01 02:10:00,5345.76,61.17,TRADE
QLD1,2021/12/01 02:15:00,5361.14,62.45,TRADE
QLD1,2021/12/01 02:20:00,5394.96,64.91,TRADE
QLD1,2021/12/01 02:25:00,5332.99,60.98,TRADE
QLD1,2021/12/01 02:30:00,5377.83,62.48,TRADE
QLD1,2021/12/01 02:35:00,5353.21,60.57,TRADE
QLD1,2021/12/01 02:40:00,5340.37,61.01,TRADE
QLD1,2021/12/01 02:45:00,5330.12,59.11,TRADE
QLD1,2021/12/01 02:50:00,5332.14,55.71,TRADE
QLD1,2021/12/01 02:55:00,5294.07,54.65,TRADE
QLD1,2021/12/01 03:00:00,5281.39,55.35,TRADE
QLD1,2021/12/01 03:05:00,5291.54,60.10,TRADE
QLD1,2021/12/01 03:10:00,5330.51,60.10,TRADE
QLD1,2021/12/01 03:15:00,5326.56,61.07,TRADE
QLD1,2021/12/01 03:20:00,5342.56,60.10,TRADE
QLD1,2021/12/01 03:25:00,5374.66,61.50,TRADE
QLD1,2021/12/01 03:30:00,5363.73,60.10,TRADE
QLD1,2021/12/01 03:35:00,5370.02,60.10,TRADE
QLD1,2021/12/01 03:40:00,5368.89,60.10,TRADE
QLD1,2021/12/01 03:45:00,5343.02,60.10,TRADE
QLD1,2021/12/01 03:50:00,5365.43,62.45,TRADE
QLD1,2021/12/01 03:55:00,5350.86,63.64,TRADE
QLD1,2021/12/01 04:00:00,5393.83,65.78,TRADE
QLD1,2021/12/01 04:05:00,5354,41.47,TRADE
QLD1,2021/12/01 04:10:00,5375.33,55.91,TRADE
QLD1,2021/12/01 04:15:00,5393.3,57.03,TRADE
QLD1,2021/12/01 04:20:00,5424.83,57.70,TRADE
QLD1,2021/12/01 04:25:00,5409.23,57.51,TRADE
QLD1,2021/12/01 04:30:00,5410.81,60.10,TRADE
QLD1,2021/12/01 04:35:00,5477.17,62.45,TRADE
QLD1,2021/12/01 04:40:00,5455.68,62.24,TRADE
QLD1,2021/12/01 04:45:00,5432.89,61.81,TRADE
QLD1,2021/12/01 04:50:00,5513.33,63.59,TRADE
QLD1,2021/12/01 04:55:00,5541.97,63.62,TRADE
QLD1,2021/12/01 05:00:00,5592.29,68.54,TRADE
QLD1,2021/12/01 05:05:00,5609.85,69,TRADE
QLD1,2021/12/01 05:10:00,5625.55,70.10,TRADE
QLD1,2021/12/01 05:15:00,5692.15,70.15,TRADE
QLD1,2021/12/01 05:20:00,5678.3,70.10,TRADE
QLD1,2021/12/01 05:25:00,5768.4,70.15,TRADE
QLD1,2021/12/01 05:30:00,5687.69,69.96,TRADE
QLD1,2021/12/01 05:35:00,5739.64,68.68,TRADE
QLD1,2021/12/01 05:40:00,5729,66.24,TRADE
QLD1,2021/12/01 05:45:00,5759.55,66.53,TRADE
QLD1,2021/12/01 05:50:00,5803.02,64.09,TRADE
QLD1,2021/12/01 05:55:00,5830.38,65.34,TRADE
QLD1,2021/12/01 06:00:00,5844.72,64.93,TRADE
QLD1,2021/12/01 06:05:00,6029.58,69.42,TRADE
QLD1,2021/12/01 06:10:00,6131.37,76.32,TRADE
QLD1,2021/12/01 06:15:00,6096.09,63.89,TRADE
QLD1,2021/12/01 06:20:00,6100.47,60.10,TRADE
QLD1,2021/12/01 06:25:00,6155.36,60.94,TRADE
QLD1,2021/12/01 06:30:00,6192.34,61.38,TRADE
QLD1,2021/12/01 06:35:00,6215.31,61.87,TRADE
