REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/08/01 00:30:00,5467.42,40.79,TRADE
QLD1,2020/08/01 01:00:00,5316.01,34.09,TRADE
QLD1,2020/08/01 01:30:00,5188.57,34.39,TRADE
QLD1,2020/08/01 02:00:00,5103.02,33.66,TRADE
QLD1,2020/08/01 02:30:00,5052.07,33.20,TRADE
QLD1,2020/08/01 03:00:00,5012.55,37.88,TRADE
QLD1,2020/08/01 03:30:00,5028.68,35.71,TRADE
QLD1,2020/08/01 04:00:00,5013.47,35.66,TRADE
QLD1,2020/08/01 04:30:00,5042.84,34.35,TRADE
QLD1,2020/08/01 05:00:00,5084.58,33.57,TRADE
QLD1,2020/08/01 05:30:00,5177.63,32.53,TRADE
QLD1,2020/08/01 06:00:00,5287.8,32.65,TRADE
QLD1,2020/08/01 06:30:00,5472.95,31.83,TRADE
QLD1,2020/08/01 07:00:00,5670.28,39.35,TRADE
QLD1,2020/08/01 07:30:00,5810.13,45.09,TRADE
QLD1,2020/08/01 08:00:00,5705.94,32.41,TRADE
QLD1,2020/08/01 08:30:00,5630.85,29.84,TRADE
QLD1,2020/08/01 09:00:00,5517.39,26.63,TRADE
QLD1,2020/08/01 09:30:00,5244.92,28.72,TRADE
QLD1,2020/08/01 10:00:00,5080.92,29.24,TRADE
QLD1,2020/08/01 10:30:00,4916.53,28.14,TRADE
QLD1,2020/08/01 11:00:00,4796.58,24.37,TRADE
QLD1,2020/08/01 11:30:00,4790.42,26.81,TRADE
QLD1,2020/08/01 12:00:00,4734.84,18.86,TRADE
QLD1,2020/08/01 12:30:00,4688.65,13.75,TRADE
QLD1,2020/08/01 13:00:00,4751.91,20.48,TRADE
QLD1,2020/08/01 13:30:00,4814.21,19.46,TRADE
QLD1,2020/08/01 14:00:00,4785.74,14.48,TRADE
QLD1,2020/08/01 14:30:00,4859.35,18.07,TRADE
QLD1,2020/08/01 15:00:00,5026.13,19.66,TRADE
QLD1,2020/08/01 15:30:00,5098.9,25.88,TRADE
QLD1,2020/08/01 16:00:00,5347.15,26.21,TRADE
QLD1,2020/08/01 16:30:00,5691.58,29.19,TRADE
QLD1,2020/08/01 17:00:00,6052.31,40.13,TRADE
QLD1,2020/08/01 17:30:00,6361.14,39.36,TRADE
QLD1,2020/08/01 18:00:00,6644.98,55.59,TRADE
QLD1,2020/08/01 18:30:00,6739.41,59.44,TRADE
QLD1,2020/08/01 19:00:00,6798.01,60.23,TRADE
QLD1,2020/08/01 19:30:00,6643.54,51.41,TRADE
QLD1,2020/08/01 20:00:00,6646.45,41.33,TRADE
QLD1,2020/08/01 20:30:00,6579.44,41.09,TRADE
QLD1,2020/08/01 21:00:00,6424.63,40.50,TRADE
QLD1,2020/08/01 21:30:00,6319.51,39.40,TRADE
QLD1,2020/08/01 22:00:00,6162.29,37.63,TRADE
QLD1,2020/08/01 22:30:00,6113.43,41.30,TRADE
QLD1,2020/08/01 23:00:00,5997.04,39.44,TRADE
QLD1,2020/08/01 23:30:00,5815.47,36.42,TRADE
QLD1,2020/08/02 00:00:00,5579.43,39.07,TRADE
QLD1,2020/08/02 00:30:00,5431.73,38.47,TRADE
QLD1,2020/08/02 01:00:00,5284.85,40.50,TRADE
QLD1,2020/08/02 01:30:00,5167.81,34.95,TRADE
QLD1,2020/08/02 02:00:00,5087.96,34.85,TRADE
QLD1,2020/08/02 02:30:00,5062.6,34.44,TRADE
QLD1,2020/08/02 03:00:00,4988.36,32.64,TRADE
QLD1,2020/08/02 03:30:00,4975.61,33.86,TRADE
QLD1,2020/08/02 04:00:00,4972.97,32.78,TRADE
QLD1,2020/08/02 04:30:00,5004.25,33.44,TRADE
QLD1,2020/08/02 05:00:00,5053.29,35.03,TRADE
QLD1,2020/08/02 05:30:00,5080.26,33.69,TRADE
QLD1,2020/08/02 06:00:00,5142.31,34.78,TRADE
QLD1,2020/08/02 06:30:00,5248.19,31.64,TRADE
QLD1,2020/08/02 07:00:00,5434.54,32.51,TRADE
QLD1,2020/08/02 07:30:00,5544.21,37.69,TRADE
QLD1,2020/08/02 08:00:00,5474.86,33.52,TRADE
QLD1,2020/08/02 08:30:00,5336.57,25.46,TRADE
QLD1,2020/08/02 09:00:00,5146.06,21.52,TRADE
QLD1,2020/08/02 09:30:00,5017.32,26.62,TRADE
QLD1,2020/08/02 10:00:00,4761.6,13.80,TRADE
QLD1,2020/08/02 10:30:00,4575.89,8.59,TRADE
QLD1,2020/08/02 11:00:00,4497.07,20.67,TRADE
QLD1,2020/08/02 11:30:00,4387.7,22.36,TRADE
QLD1,2020/08/02 12:00:00,4295.42,17.31,TRADE
QLD1,2020/08/02 12:30:00,4241.43,20.16,TRADE
QLD1,2020/08/02 13:00:00,4275.74,21.28,TRADE
QLD1,2020/08/02 13:30:00,4353.48,21.68,TRADE
QLD1,2020/08/02 14:00:00,4419.1,24.59,TRADE
QLD1,2020/08/02 14:30:00,4535.77,8.94,TRADE
QLD1,2020/08/02 15:00:00,4757.03,20.21,TRADE
QLD1,2020/08/02 15:30:00,4971.54,25.16,TRADE
QLD1,2020/08/02 16:00:00,5293.8,28.87,TRADE
QLD1,2020/08/02 16:30:00,5653.77,30.45,TRADE
QLD1,2020/08/02 17:00:00,6012.5,36.34,TRADE
QLD1,2020/08/02 17:30:00,6454.51,39.79,TRADE
QLD1,2020/08/02 18:00:00,6753.23,94.59,TRADE
QLD1,2020/08/02 18:30:00,6893.57,61.99,TRADE
QLD1,2020/08/02 19:00:00,6954.94,56.70,TRADE
QLD1,2020/08/02 19:30:00,6808.81,51.74,TRADE
QLD1,2020/08/02 20:00:00,6700.92,52.45,TRADE
QLD1,2020/08/02 20:30:00,6605.36,46.03,TRADE
QLD1,2020/08/02 21:00:00,6446.49,41.97,TRADE
QLD1,2020/08/02 21:30:00,6305.91,37.92,TRADE
QLD1,2020/08/02 22:00:00,6113.12,34.71,TRADE
