REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2020/02/01 00:30:00,6338.04,60.17,TRADE
QLD1,2020/02/01 01:00:00,6217.35,67.55,TRADE
QLD1,2020/02/01 01:30:00,6135.7,65.23,TRADE
QLD1,2020/02/01 02:00:00,6065.2,72.84,TRADE
QLD1,2020/02/01 02:30:00,5979.98,79.70,TRADE
QLD1,2020/02/01 03:00:00,5936.29,71.85,TRADE
QLD1,2020/02/01 03:30:00,5895.79,74.71,TRADE
QLD1,2020/02/01 04:00:00,5857.97,70.04,TRADE
QLD1,2020/02/01 04:30:00,5862.58,78.66,TRADE
QLD1,2020/02/01 05:00:00,5902.79,67.62,TRADE
QLD1,2020/02/01 05:30:00,5890.66,67.44,TRADE
QLD1,2020/02/01 06:00:00,5898.06,66.62,TRADE
QLD1,2020/02/01 06:30:00,5992.29,67.76,TRADE
QLD1,2020/02/01 07:00:00,6033.84,62.29,TRADE
QLD1,2020/02/01 07:30:00,6102.77,62.12,TRADE
QLD1,2020/02/01 08:00:00,6165.18,56.92,TRADE
QLD1,2020/02/01 08:30:00,6318.86,68.73,TRADE
QLD1,2020/02/01 09:00:00,6385.58,66.71,TRADE
QLD1,2020/02/01 09:30:00,6401.24,78.86,TRADE
QLD1,2020/02/01 10:00:00,6371.06,83.70,TRADE
QLD1,2020/02/01 10:30:00,6374.5,82.98,TRADE
QLD1,2020/02/01 11:00:00,6455.46,79.39,TRADE
QLD1,2020/02/01 11:30:00,6493.29,66.12,TRADE
QLD1,2020/02/01 12:00:00,6556.74,69.85,TRADE
QLD1,2020/02/01 12:30:00,6653.8,74.81,TRADE
QLD1,2020/02/01 13:00:00,6761.77,74.11,TRADE
QLD1,2020/02/01 13:30:00,6852.06,69.86,TRADE
QLD1,2020/02/01 14:00:00,7024.78,78.92,TRADE
QLD1,2020/02/01 14:30:00,7086.29,78.22,TRADE
QLD1,2020/02/01 15:00:00,7288.29,65.80,TRADE
QLD1,2020/02/01 15:30:00,7499.71,61.06,TRADE
QLD1,2020/02/01 16:00:00,7700.51,81.91,TRADE
QLD1,2020/02/01 16:30:00,7921.72,79.60,TRADE
QLD1,2020/02/01 17:00:00,8098.82,94.49,TRADE
QLD1,2020/02/01 17:30:00,8131.46,81.78,TRADE
QLD1,2020/02/01 18:00:00,8219.2,116.37,TRADE
QLD1,2020/02/01 18:30:00,8192.29,101.70,TRADE
QLD1,2020/02/01 19:00:00,8187.96,206.74,TRADE
QLD1,2020/02/01 19:30:00,8218.22,214.81,TRADE
QLD1,2020/02/01 20:00:00,8152.04,192.41,TRADE
QLD1,2020/02/01 20:30:00,7912.42,86.58,TRADE
QLD1,2020/02/01 21:00:00,7690.26,127.75,TRADE
QLD1,2020/02/01 21:30:00,7556.62,85.56,TRADE
QLD1,2020/02/01 22:00:00,7303.11,80.78,TRADE
QLD1,2020/02/01 22:30:00,7170.09,83.68,TRADE
QLD1,2020/02/01 23:00:00,6989.3,137.63,TRADE
QLD1,2020/02/01 23:30:00,6732.55,67.52,TRADE
QLD1,2020/02/02 00:00:00,6475.7,67.89,TRADE
QLD1,2020/02/02 00:30:00,6319.29,72.15,TRADE
QLD1,2020/02/02 01:00:00,6170.61,73.01,TRADE
QLD1,2020/02/02 01:30:00,6057.96,73.03,TRADE
QLD1,2020/02/02 02:00:00,5980.05,62.18,TRADE
QLD1,2020/02/02 02:30:00,5927.63,65.69,TRADE
QLD1,2020/02/02 03:00:00,5835.68,60.60,TRADE
QLD1,2020/02/02 03:30:00,5777.13,57.65,TRADE
QLD1,2020/02/02 04:00:00,5760.98,55.63,TRADE
QLD1,2020/02/02 04:30:00,5759.84,70.83,TRADE
QLD1,2020/02/02 05:00:00,5761.38,65.69,TRADE
QLD1,2020/02/02 05:30:00,5766.53,62.14,TRADE
QLD1,2020/02/02 06:00:00,5768.79,50.35,TRADE
QLD1,2020/02/02 06:30:00,5784.27,47.35,TRADE
QLD1,2020/02/02 07:00:00,5817.77,49.13,TRADE
QLD1,2020/02/02 07:30:00,5783.47,43.41,TRADE
QLD1,2020/02/02 08:00:00,5803.62,29.40,TRADE
QLD1,2020/02/02 08:30:00,5845.05,36.17,TRADE
QLD1,2020/02/02 09:00:00,5862.9,22.20,TRADE
QLD1,2020/02/02 09:30:00,5884.7,42.30,TRADE
QLD1,2020/02/02 10:00:00,5969.28,41.01,TRADE
QLD1,2020/02/02 10:30:00,6060.79,43.20,TRADE
QLD1,2020/02/02 11:00:00,6120.79,43.93,TRADE
QLD1,2020/02/02 11:30:00,6239.48,50.25,TRADE
QLD1,2020/02/02 12:00:00,6397.64,55.26,TRADE
QLD1,2020/02/02 12:30:00,6521.72,56.87,TRADE
QLD1,2020/02/02 13:00:00,6688.42,51.82,TRADE
QLD1,2020/02/02 13:30:00,6855.99,54.76,TRADE
QLD1,2020/02/02 14:00:00,7053.89,42.14,TRADE
QLD1,2020/02/02 14:30:00,7242.8,63.80,TRADE
QLD1,2020/02/02 15:00:00,7457.9,62.59,TRADE
QLD1,2020/02/02 15:30:00,7734.55,65.72,TRADE
QLD1,2020/02/02 16:00:00,8027.33,69.41,TRADE
QLD1,2020/02/02 16:30:00,8245.31,57.31,TRADE
QLD1,2020/02/02 17:00:00,8545.24,73.36,TRADE
QLD1,2020/02/02 17:30:00,8650.96,76.84,TRADE
QLD1,2020/02/02 18:00:00,8763.19,125.06,TRADE
