REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/03/01 00:30:00,6228.89,44.03,TRADE
QLD1,2021/03/01 01:00:00,6082.05,41.97,TRADE
QLD1,2021/03/01 01:30:00,5999.23,40.51,TRADE
QLD1,2021/03/01 02:00:00,5943.01,38.81,TRADE
QLD1,2021/03/01 02:30:00,5894.66,38.73,TRADE
QLD1,2021/03/01 03:00:00,5883.13,38.73,TRADE
QLD1,2021/03/01 03:30:00,5858.85,37.98,TRADE
QLD1,2021/03/01 04:00:00,5861.94,37.82,TRADE
QLD1,2021/03/01 04:30:00,5871.11,38.39,TRADE
QLD1,2021/03/01 05:00:00,5979.71,43.52,TRADE
QLD1,2021/03/01 05:30:00,6184.98,48.47,TRADE
QLD1,2021/03/01 06:00:00,6370.58,58.90,TRADE
QLD1,2021/03/01 06:30:00,6708.27,77.17,TRADE
QLD1,2021/03/01 07:00:00,6982.62,87.45,TRADE
QLD1,2021/03/01 07:30:00,7274.43,107.15,TRADE
QLD1,2021/03/01 08:00:00,7297.91,610.35,TRADE
QLD1,2021/03/01 08:30:00,7292.42,57.59,TRADE
QLD1,2021/03/01 09:00:00,7423.75,61.87,TRADE
QLD1,2021/03/01 09:30:00,7442.96,69.28,TRADE
QLD1,2021/03/01 10:00:00,7389.97,76.31,TRADE
QLD1,2021/03/01 10:30:00,7410.82,94.73,TRADE
QLD1,2021/03/01 11:00:00,7417.84,84.81,TRADE
QLD1,2021/03/01 11:30:00,7484.72,68.79,TRADE
QLD1,2021/03/01 12:00:00,7588.8,66.99,TRADE
QLD1,2021/03/01 12:30:00,7584.37,51.74,TRADE
QLD1,2021/03/01 13:00:00,7570.42,48.71,TRADE
QLD1,2021/03/01 13:30:00,7423.94,40.26,TRADE
QLD1,2021/03/01 14:00:00,7456.46,41.97,TRADE
QLD1,2021/03/01 14:30:00,7469.62,45.97,TRADE
QLD1,2021/03/01 15:00:00,7642.89,42.98,TRADE
QLD1,2021/03/01 15:30:00,7753.72,46.99,TRADE
QLD1,2021/03/01 16:00:00,7804.14,52.13,TRADE
QLD1,2021/03/01 16:30:00,7930.31,51.67,TRADE
QLD1,2021/03/01 17:00:00,8249.55,94.88,TRADE
QLD1,2021/03/01 17:30:00,8286.06,44.67,TRADE
QLD1,2021/03/01 18:00:00,8295.28,48.70,TRADE
QLD1,2021/03/01 18:30:00,8209.91,45.17,TRADE
QLD1,2021/03/01 19:00:00,8324.73,51.42,TRADE
QLD1,2021/03/01 19:30:00,8158.5,42.71,TRADE
QLD1,2021/03/01 20:00:00,7998.17,40.58,TRADE
